panel_id;filename;blc1;dr_-0.03_freq_933.342681;dr_-0.04_freq_1200.011914;dr_-0.04_freq_1312.585393;dr_-0.04_freq_1333.346684;dr_-0.04_freq_1350.008112;dr_-0.04_freq_1365.298917;dr_-0.04_freq_1398.598805;dr_-0.04_freq_1431.898859;dr_-0.04_freq_1485.008851;dr_-0.04_freq_1498.498799;dr_-0.05_freq_1439.492719;dr_-0.05_freq_1440.075719;dr_-0.05_freq_1648.348679;dr_-0.05_freq_1755.010495;dr_-0.05_freq_1798.198613;dr_-0.05_freq_1890.011349;dr_-0.05_freq_1920.155980;dr_-0.06_freq_1366.124356;dr_-0.06_freq_1680.045601;dr_-0.06_freq_1749.962494;dr_-0.06_freq_1920.190296;dr_-0.06_freq_2097.898373;dr_-0.06_freq_2283.223801;dr_-0.06_freq_2400.014489;dr_-0.07_freq_2400.194919;dr_-0.07_freq_2547.447902;dr_-0.08_freq_2400.237953;dr_0.02_freq_704.499339;dr_0.02_freq_717.345160;dr_0.02_freq_727.985186;dr_0.02_freq_732.599455;dr_0.02_freq_733.985201;dr_0.02_freq_741.985220;dr_0.02_freq_832.499339;dr_0.03_freq_736.864168;dr_0.03_freq_788.001170;dr_0.03_freq_789.985175;dr_0.03_freq_796.001189;dr_0.03_freq_799.199286;dr_0.03_freq_805.985213;dr_0.03_freq_810.550547;dr_0.03_freq_812.001284;dr_0.03_freq_813.985289;dr_0.03_freq_816.001238;dr_0.03_freq_817.985243;dr_0.03_freq_818.001242;dr_0.03_freq_818.017187;dr_0.03_freq_832.005774;dr_0.03_freq_856.001226;dr_0.03_freq_865.799281;dr_0.03_freq_899.099280;dr_0.03_freq_960.005774;dr_0.03_freq_1065.599158;dr_0.03_freq_1098.899045;dr_0.03_freq_1198.799039;dr_0.03_freq_1320.107263;dr_0.04_freq_1062.001512;dr_0.04_freq_1298.698922;dr_0.04_freq_1466.681405;dr_0.05_freq_1250.013833;dr_0.06_freq_1866.685360
0;blcxx_1421-490_S_2019-04-29T12:39:50.000.fil;;;;-0.05;;0.0427054108216433;;;;0.0285571142284569;;0.0535871743486974;0.0621442885771543;;;0.037935871743487;;0.018997995991984;0.018997995991984;;0.0569282136894825;;;0.0535871743486974;;;;;0.0303607214428858;;;;;0.025310621242485;0.025310621242485;0.037935871743487;;;;0.025310621242485;;;;;;;0.0349899799599198;;;;;0.037935871743487;;;;;;;;;;
1;blcxx_1421-490_R_2019-04-29T12:46:00.000.fil;;;-0.05;-0.0413026052104208;;0.0206813627254509;;;;0.0163326653306613;;0.0535871743486974;0.0426452905811623;;0.0326052104208417;;;;0.0401803607214429;;;;0.0569138276553106;0.0650901803607215;;0.0455911823647295;;;0.0142284569138277;0.0227855711422846;0.0487374749498998;0.0206813627254509;0.0227855711422846;;0.0349899799599198;0.018997995991984;;;;0.0285370741482966;;;0.0427054108216433;;0.0303607214428858;;0.0268537074148297;;-0.0141082164328657;;0.037935871743487;0.025310621242485;;;;;;;;;0.0535470941883768;-0.0349298597194389
2;blcxx_ProxCen_S_2019-04-29T13:02:35.000.fil;0.031202404809619200;-0.023627254509018;-0.0319038076152305;-0.0335871743486974;-0.0366733466933868;0.0297995991983968;0.0345691382765531;0.0331663326653307;0.0355711422845691;0.0323647294589178;0.0367735470941884;0.0455911823647295;0.044188376753507;0.0404609218436874;0.0410220440881764;0.043687374749499;0.0397595190380762;0.0445290581162325;0.0445290581162325;0.0481763527054108;0.0449081803005008;0.0484569138276553;0.0510220440881764;0.0527454909819639;0.051623246492986;0.0562525050100201;0.0617234468937876;0.0631663326653307;0.0213827655310621;0.0222244488977956;0.0219438877755511;0.0180160320641283;0.0212424849699399;0.0220841683366734;0.0213827655310621;0.0243286573146293;0.0226452905811623;0.0226452905811623;0.023627254509018;0.0192785571142285;0.024188376753507;0.0279759519038076;0.0243286573146293;0.0243286573146293;0.0264328657314629;0.0262925851703407;0.0271342685370742;0.0248897795591182;0.0230661322645291;0.0261523046092184;0.0205410821643287;0.0227855711422846;0.0230661322645291;0.0276953907815631;0.0261523046092184;0.029939879759519;0.0302204408817635;0.0312024048096192;0.0334468937875752;-0.0389779559118237;0.0463927855711423;-0.0500801603206413
3;blcxx_1421-490_S_2019-04-29T13:34:59.000.fil;;-0.0302204408817635;-0.0226452905811623;-0.0132464929859719;-0.0377955911823647;0.037935871743487;0.037935871743487;;;0.0455911823647295;0.0427855711422846;;0.0228657314629259;;0.0175951903807615;;0.037935871743487;0.0414428857715431;0.0414428857715431;;0.035025041736227;0.0487374749498998;0.0506012024048096;0.0569539078156313;0.0683166332665331;0.0535871743486974;0.0669138276553106;0.0606412825651303;0.0152104208416834;;;0.0206813627254509;;0.0349899799599198;0.0152104208416834;0.0268537074148297;0.037935871743487;-0.02;0.0268537074148297;0.0163326653306613;0.018997995991984;0.037935871743487;0.0303607214428858;0.0326052104208417;0.025310621242485;0.0227855711422846;0.0326052104208417;0.0326052104208417;0.0326052104208417;0.0285370741482966;0.0285370741482966;0.0285370741482966;0.0163326653306613;0.0206813627254509;0.0349899799599198;0.0326052104208417;;-0.018877755511022;0.037935871743487;;0.052565130260521;-0.037875751503006
4;blcxx_ProxCen_S_2019-04-29T13:47:46.000.fil;0.03036072144288580;-0.0240480961923848;-0.0288176352705411;-0.0274148296593186;-0.0313426853707415;0.023627254509018;0.0326052104208417;0.0341683366733467;0.0345691382765531;0.0311623246492986;0.0365731462925852;;0.0179559118236473;;0.0313426853707415;0.0438276553106212;0.0383567134268537;0.0455110220440882;0.0455110220440882;;0.06;0.05;0.0511623246492986;0.0197795591182365;0.0460120240480962;0.0569539078156313;0.0613026052104209;0.0649899799599198;0.0194188376753507;0.0225050100200401;0.0234869739478958;0.0167535070140281;;0.0209619238476954;0.0194188376753507;0.0265731462925852;0.0246092184368738;0.0257314629258517;0.0226452905811623;0.0185771543086172;0.024188376753507;;0.0248897795591182;0.0248897795591182;0.0240480961923848;0.0114228456913828;0.0196993987975952;0.025310621242485;0.0201202404809619;0.0265731462925852;0.0202605210420842;0.0212424849699399;0.0201202404809619;0.025310621242485;0.0257314629258517;0.0285370741482966;0.0300801603206413;0.0320440881763527;0.0312024048096192;-0.0339679358717435;0.0368537074148297;-0.0416633266533066
5;blcxx_1934-638_S_2019-04-29T14:21:18.000.fil;;;-0.042565130260521;-0.0324649298597194;-0.0485971943887776;0.025310621242485;;;;-0.0141282565130261;;;;;-0.0132665330661323;0.0455110220440882;;0.0326052104208417;0.0326052104208417;;;;0.0506012024048096;0.0253907815631263;0.0253907815631263;;;;0.025310621242485;;;;;;0.0268537074148297;0.0227855711422846;;;;0.018997995991984;;0.0285370741482966;0.0268537074148297;;0.025310621242485;;;;;;;0.0268537074148297;;;;;0.0487374749498998;;;;0.0413426853707415;-0.0698597194388778
6;blcxx_J1644-4559_S_2019-04-29T14:34:27.000.fil;;;;-0.0132464929859719;;0.0326052104208417;;;;0.0303607214428858;;;;;0.018997995991984;;;;0.0455110220440882;;;;0.052565130260521;0.0253907815631263;;0.0535871743486974;;;0.0227855711422846;;;0.0227855711422846;;;0.0206813627254509;0.0285370741482966;;;;0.0303607214428858;;0.0285370741482966;;;;;;;0.0175951903807615;;0.018997995991984;0.0326052104208417;;;;;;;;;;-0.0606012024048096
7;blcxx_ProxCen_S_2019-04-29T14:43:40.000.fil;0.03064128256513030;-0.024188376753507;-0.0351302605210421;-0.0229258517034068;-0.0383567134268537;0.032184368737475;0.0407414829659319;;;0.0349699398797595;0.0455911823647295;;;;0.0434068136272545;0.05;0.0462124248496994;0.0434068136272545;0.0434068136272545;;0.0585308848080134;0.0491583166332665;0.0597194388777555;0.0134669338677355;0.0610220440881764;0.0533066132264529;0.0589178356713427;0.0670941883767535;0.024188376753507;0.0215230460921844;0.023627254509018;0.0234869739478958;0.0239078156312625;0.0226452905811623;0.024188376753507;0.0226452905811623;0.023627254509018;0.0239078156312625;0.025310621242485;0.0239078156312625;0.0244689378757515;0.0300801603206413;0.0262925851703407;0.0268537074148297;0.0250300601202405;;0.0262925851703407;;0.0246092184368738;0.0285370741482966;0.0278356713426854;0.0278356713426854;0.0243286573146293;0.0319038076152305;0.032184368737475;0.0369539078156313;0.0333066132264529;0.0337274549098197;;-0.0407815631262525;0.0524248496993988;-0.0509218436873748
8;blcxx_1421-490_S_2019-04-29T15:15:10.000.fil;;-0.0302204408817635;-0.0267134268537074;-0.0400400801603206;-0.05;0.0175951903807615;;;;0.0135270541082164;;;;;0.037935871743487;;;0.0455110220440882;0.0455110220440882;;0.0569282136894825;;0.0487775551102204;0.0207615230460922;0.0569539078156313;0.0506412825651303;;0.0606412825651303;0.0206813627254509;;0.025310621242485;0.0227855711422846;;;0.0206813627254509;;;;;0.0326052104208417;0.025310621242485;;0.037935871743487;0.037935871743487;0.0326052104208417;0.0142284569138277;0.018997995991984;0.0303607214428858;0.018997995991984;0.0142284569138277;0.025310621242485;0.0326052104208417;0.025310621242485;0.0455110220440882;;;0.0303607214428858;;;-0.0453907815631263;;-0.0303006012024048
9;blcxx_ProxCen_S_2019-04-29T15:21:41.000.fil;0.02699398797595190;-0.0264328657314629;-0.03625250501002;-0.0152104208416834;-0.0375150300601202;0.0326052104208417;0.0369539078156313;;0.0375751503006012;0.0365731462925852;0.0413827655310621;;;;0.04312625250501;0.05;0.0491583166332665;0.0369539078156313;0.0369539078156313;;0.0587979966611018;0.0443887775551102;0.0562124248496994;0.0127655310621243;0.0577955911823647;0.0488176352705411;0.0545691382765531;0.0519438877755511;0.0234869739478958;;0.0187174348697395;0.0206813627254509;0.019559118236473;0.0188577154308617;0.0234869739478958;0.0177354709418838;0.0227855711422846;0.0227855711422846;0.0216633266533066;0.0215230460921844;0.0209619238476954;0.0209619238476954;0.0233466933867736;0.0227855711422846;0.0223647294589178;0.019559118236473;0.0237675350701403;0.0215230460921844;0.025310621242485;0.0246092184368738;0.0226452905811623;0.0246092184368738;0.0246092184368738;0.0282565130260521;0.030501002004008;;;0.0307815631262525;0.0356913827655311;-0.0419839679358717;0.0469539078156313;-0.0527454909819639
