panel_id;filename;blc1;dr_-0.03_freq_933.342681;dr_-0.04_freq_1200.011914;dr_-0.04_freq_1312.585393;dr_-0.04_freq_1333.346684;dr_-0.04_freq_1350.008112;dr_-0.04_freq_1365.298917;dr_-0.04_freq_1398.598805;dr_-0.04_freq_1431.898859;dr_-0.04_freq_1485.008851;dr_-0.04_freq_1498.498799
0;blcxx_1421-490_S_2019-04-29T12:39:50.000.fil;;;;-0.05;;0.0427054108216433;;;;0.0285571142284569;
1;blcxx_1421-490_R_2019-04-29T12:46:00.000.fil;;;-0.05;-0.0413026052104208;;0.0206813627254509;;;;0.0163326653306613;
2;blcxx_ProxCen_S_2019-04-29T13:02:35.000.fil;0.031202404809619200;-0.023627254509018;-0.0319038076152305;-0.0335871743486974;-0.0366733466933868;0.0297995991983968;0.0345691382765531;0.0331663326653307;0.0355711422845691;0.0323647294589178;0.0367735470941884
3;blcxx_1421-490_S_2019-04-29T13:34:59.000.fil;;-0.0302204408817635;-0.0226452905811623;-0.0132464929859719;-0.0377955911823647;0.037935871743487;0.037935871743487;;;0.0455911823647295;0.0427855711422846
4;blcxx_ProxCen_S_2019-04-29T13:47:46.000.fil;0.03036072144288580;-0.0240480961923848;-0.0288176352705411;-0.0274148296593186;-0.0313426853707415;0.023627254509018;0.0326052104208417;0.0341683366733467;0.0345691382765531;0.0311623246492986;0.0365731462925852
5;blcxx_1934-638_S_2019-04-29T14:21:18.000.fil;;;-0.042565130260521;-0.0324649298597194;-0.0485971943887776;0.025310621242485;;;;-0.0141282565130261;
6;blcxx_J1644-4559_S_2019-04-29T14:34:27.000.fil;;;;-0.0132464929859719;;0.0326052104208417;;;;0.0303607214428858;
7;blcxx_ProxCen_S_2019-04-29T14:43:40.000.fil;0.03064128256513030;-0.024188376753507;-0.0351302605210421;-0.0229258517034068;-0.0383567134268537;0.032184368737475;0.0407414829659319;;;0.0349699398797595;0.0455911823647295
8;blcxx_1421-490_S_2019-04-29T15:15:10.000.fil;;-0.0302204408817635;-0.0267134268537074;-0.0400400801603206;-0.05;0.0175951903807615;;;;0.0135270541082164;
9;blcxx_ProxCen_S_2019-04-29T15:21:41.000.fil;0.02699398797595190;-0.0264328657314629;-0.03625250501002;-0.0152104208416834;-0.0375150300601202;0.0326052104208417;0.0369539078156313;;0.0375751503006012;0.0365731462925852;0.0413827655310621
10;blcxx_1421-490_S_2019-04-29T15:53:15.000.fil;;0.0176152304609219;;-0.0251703406813627;0.0163527054108217;0.0303607214428858;;;;0.0267535070140281;0.0413827655310621
11;blcxx_ProxCen_S_2019-04-29T15:59:48.000.fil;;-0.0188577154308617;-0.0260120240480962;-0.0104408817635271;-0.0283967935871743;0.0248897795591182;0.0170340681362726;;;0.0273547094188377;0.032565130260521
12;blcxx_1421-490_S_2019-04-29T16:31:21.000.fil;;-0.0188577154308617;-0.0132464929859719;-0.0174549098196393;-0.0161923847695391;0.0285370741482966;;;;0.0303607214428858;0.0413827655310621
13;blcxx_ProxCen_S_2019-04-29T16:37:52.000.fil;;0.0146693386773547;-0.0177354709418838;-0.0103006012024048;-0.0133867735470942;0.0188577154308617;0.0138076152304609;;;0.0235470941883768;0.0299599198396794
14;blcxx_1421-490_S_2019-04-29T17:09:23.000.fil;;-0.0132464929859719;-0.0132464929859719;-0.0132464929859719;-0.0205410821643287;0.018997995991984;;;;0.0253507014028056;0.0253507014028056
15;blcxx_ProxCen_S_2019-04-29T17:54:26.000.fil;0.010300601202404800;-0.00665330661322645;-0.00665330661322645;-0.00328657314629258;-0.0077755511022044;0.00609218436873748;0.0119839679358718;;0.0119238476953908;0.00651302605210421;0.0123246492985972
16;blcxx_1421-490_S_2019-04-29T18:25:49.000.fil;;-0.0161923847695391;-0.0283967935871743;-0.0161923847695391;-0.0377955911823647;-0.02;0.0285370741482966;;-0.0323647294589178;-0.018937875751503;-0.0161322645290581
